2023-04-18 16:03:04.053 	Header 	scan 1 	Step 1 - Event
2023-04-18 16:04:47.669 	Header 	scan 1 	Completed Cycle 1
2023-04-18 16:04:47.673 	Header 	scan 1 	Sequence Completed: Completed Cycle 1
2023-04-18 16:04:48.176 	Header 	scan 1 	Sequence Completed
2023-04-18 16:06:41.206 	Header 	scan 2 	Sequence Started
2023-04-18 16:06:41.211 	Header 	scan 2 	Step 1 - Event
2023-04-18 16:06:51.893 	Info 	38290024-2 	MoveToPosition Requested 	Position = 105
2023-04-18 16:06:51.955 	Info 	38290024 	Waiting
2023-04-18 16:06:52.463 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:06:52.476 	Info 	38290024-2 	MoveToPosition Requested 	Position = 113
2023-04-18 16:06:52.551 	Info 	38290024 	Waiting
2023-04-18 16:06:53.066 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:06:53.070 	Info 	38290024-2 	MoveToPosition Requested 	Position = 121
2023-04-18 16:06:53.144 	Info 	38290024 	Waiting
2023-04-18 16:06:53.658 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:06:53.662 	Info 	38290024-2 	MoveToPosition Requested 	Position = 129
2023-04-18 16:06:53.715 	Info 	38290024 	Waiting
2023-04-18 16:06:54.235 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:06:54.268 	Info 	38290024-2 	MoveToPosition Requested 	Position = 137
2023-04-18 16:06:54.322 	Info 	38290024 	Waiting
2023-04-18 16:06:54.839 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:06:54.846 	Info 	38290024-2 	MoveToPosition Requested 	Position = 145
2023-04-18 16:06:54.911 	Info 	38290024 	Waiting
2023-04-18 16:06:55.435 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:06:55.444 	Info 	38290024-2 	MoveToPosition Requested 	Position = 153
2023-04-18 16:06:55.507 	Info 	38290024 	Waiting
2023-04-18 16:06:56.019 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:06:56.024 	Info 	38290024-2 	MoveToPosition Requested 	Position = 161
2023-04-18 16:06:56.089 	Info 	38290024 	Waiting
2023-04-18 16:06:56.612 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:06:56.623 	Info 	38290024-2 	MoveToPosition Requested 	Position = 169
2023-04-18 16:06:56.682 	Info 	38290024 	Waiting
2023-04-18 16:06:57.190 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:06:57.193 	Info 	38290024-2 	MoveToPosition Requested 	Position = 177
2023-04-18 16:06:57.247 	Info 	38290024 	Waiting
2023-04-18 16:06:57.768 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:06:57.772 	Info 	38290024-2 	MoveToPosition Requested 	Position = 185
2023-04-18 16:06:57.834 	Info 	38290024 	Waiting
2023-04-18 16:06:58.348 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:06:58.351 	Info 	38290024-2 	MoveToPosition Requested 	Position = 193
2023-04-18 16:06:58.413 	Info 	38290024 	Waiting
2023-04-18 16:06:58.941 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:06:58.955 	Info 	38290024-2 	MoveToPosition Requested 	Position = 201
2023-04-18 16:06:59.023 	Info 	38290024 	Waiting
2023-04-18 16:06:59.539 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:06:59.543 	Info 	38290024-2 	MoveToPosition Requested 	Position = 210
2023-04-18 16:06:59.599 	Info 	38290024 	Waiting
2023-04-18 16:07:00.115 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:00.128 	Info 	38290024-2 	MoveToPosition Requested 	Position = 218
2023-04-18 16:07:00.190 	Info 	38290024 	Waiting
2023-04-18 16:07:00.695 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:00.698 	Info 	38290024-2 	MoveToPosition Requested 	Position = 226
2023-04-18 16:07:00.754 	Info 	38290024 	Waiting
2023-04-18 16:07:01.270 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:01.279 	Info 	38290024-2 	MoveToPosition Requested 	Position = 234
2023-04-18 16:07:01.328 	Info 	38290024 	Waiting
2023-04-18 16:07:01.846 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:01.851 	Info 	38290024-2 	MoveToPosition Requested 	Position = 242
2023-04-18 16:07:01.902 	Info 	38290024 	Waiting
2023-04-18 16:07:02.408 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:02.411 	Info 	38290024-2 	MoveToPosition Requested 	Position = 250
2023-04-18 16:07:02.476 	Info 	38290024 	Waiting
2023-04-18 16:07:02.996 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:03.000 	Info 	38290024-2 	MoveToPosition Requested 	Position = 258
2023-04-18 16:07:03.064 	Info 	38290024 	Waiting
2023-04-18 16:07:03.582 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:03.586 	Info 	38290024-2 	MoveToPosition Requested 	Position = 266
2023-04-18 16:07:03.650 	Info 	38290024 	Waiting
2023-04-18 16:07:04.158 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:04.166 	Info 	38290024-2 	MoveToPosition Requested 	Position = 274
2023-04-18 16:07:04.236 	Info 	38290024 	Waiting
2023-04-18 16:07:04.752 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:04.764 	Info 	38290024-2 	MoveToPosition Requested 	Position = 282
2023-04-18 16:07:04.830 	Info 	38290024 	Waiting
2023-04-18 16:07:05.346 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:05.350 	Info 	38290024-2 	MoveToPosition Requested 	Position = 290
2023-04-18 16:07:05.409 	Info 	38290024 	Waiting
2023-04-18 16:07:05.929 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:05.933 	Info 	38290024-2 	MoveToPosition Requested 	Position = 298
2023-04-18 16:07:05.994 	Info 	38290024 	Waiting
2023-04-18 16:07:06.513 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:06.518 	Info 	38290024-2 	MoveToPosition Requested 	Position = 306
2023-04-18 16:07:06.566 	Info 	38290024 	Waiting
2023-04-18 16:07:07.079 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:07.083 	Info 	38290024-2 	MoveToPosition Requested 	Position = 314
2023-04-18 16:07:07.145 	Info 	38290024 	Waiting
2023-04-18 16:07:07.660 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:07.665 	Info 	38290024-2 	MoveToPosition Requested 	Position = 322
2023-04-18 16:07:07.739 	Info 	38290024 	Waiting
2023-04-18 16:07:08.255 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:08.258 	Info 	38290024-2 	MoveToPosition Requested 	Position = 330
2023-04-18 16:07:08.340 	Info 	38290024 	Waiting
2023-04-18 16:07:08.846 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:08.850 	Info 	38290024-2 	MoveToPosition Requested 	Position = 338
2023-04-18 16:07:08.910 	Info 	38290024 	Waiting
2023-04-18 16:07:09.428 	Info 	38290024 	Jog
 	Paddle = Paddle2
 	Direction = Forward
2023-04-18 16:07:09.441 	Info 	38290024-2 	MoveToPosition Requested 	Position = 347
2023-04-18 16:07:09.498 	Info 	38290024 	Waiting
2023-04-18 16:07:10.004 	Info 	38290024 	Jog
